index,tbh,tbv,pd,tsurf,sal,temp,dsnow,dice
0,245.986904385846,244.682448618248,-1.3044557675980002,259.45,5.32,-9.69,5.5,94.5
1,246.627791020265,243.795584080986,-2.83220693927899,259.55,5.32,-9.69,5.5,95.0
2,244.585948063104,243.994930516462,-0.5910175466420071,259.75,5.32,-9.69,6.0,94.0
4,253.612755645672,249.292978820192,-4.319776825480005,256.45,5.32,-9.69,6.0,94.0
5,252.680072834438,246.909682947415,-5.770389887022986,256.05,5.32,-9.69,5.5,97.0
6,249.958484376864,247.422071426355,-2.5364129505090034,255.15,5.32,-9.69,5.0,98.5
7,253.796011043981,246.751935435867,-7.044075608113985,254.15,5.32,-9.69,4.5,98.0
8,235.29150621443648,245.305912203297,10.014405988860517,252.75,5.32,-9.69,14.0,89.5
9,234.689935471623,246.016920359811,11.326984888188008,251.65,5.32,-9.69,14.0,89.5
11,259.735504401968,262.5021557658785,2.766651363910512,257.35,,-7.37,5.5,89.0
12,255.399473009179,260.660695961483,5.261222952303996,257.55,,-7.37,6.5,85.5
13,235.34234282891,254.734471755057,19.392128926146995,257.35,,-7.37,18.5,85.5
14,256.0748382759935,262.17755310381847,6.102714827824968,257.85,,-7.37,6.5,89.0
15,229.57639659760451,252.99887336719598,23.42247676959147,257.65,,-7.37,7.5,85.5
16,241.334215162428,257.298028958559,15.963813796130978,257.65,,-7.37,7.5,85.5
19,218.041816763842,233.176779125858,15.134962362015983,242.65,4.57,-12.95,5.0,93.0
20,250.441610136074,248.587800121987,-1.8538100140870029,242.65,4.57,-12.95,5.0,93.0
21,208.766519271616,229.404296394175,20.637777122558987,242.45,4.57,-12.95,5.5,93.0
22,231.309482975793,241.329967807038,10.020484831245,242.15,4.57,-12.95,13.5,93.0
23,231.718429178,244.700842381844,12.982413203844004,244.05,5.32,-9.69,6.5,99.0
24,236.746109013236,238.467571436701,1.721462423464999,243.85,4.78,-13.86,13.0,86.0
25,216.284335360903,235.725690821177,19.441355460274025,243.45,4.78,-13.86,13.0,86.0
29,214.827549525296,232.3775756197515,17.55002609445549,250.75,4.78,-13.86,0.0,86.0
30,224.667756198381,237.440454362997,12.772698164616003,245.25,4.78,-13.86,13.0,86.0
31,231.95556994627702,240.29536411899602,8.339794172718996,243.15,4.78,-13.86,5.5,92.0
32,240.715636664476,240.08482930099052,-0.6308073634854736,243.85,4.78,-13.86,8.0,84.0
33,233.829879552329,237.217833314432,3.3879537621029954,243.45,4.78,-13.86,8.0,84.0
34,209.148144388975,229.389783086018,20.241638697043015,243.65,4.78,-13.86,4.5,84.5
37,243.153893122684,251.391741180487,8.237848057803006,,4.78,-13.86,13.5,85.5
38,213.405836211505,237.999831514955,24.593995303449987,,4.78,-13.86,0.2,85.5
39,242.834728740995,247.721803577831,4.887074836836007,,4.78,-13.86,6.5,85.5
40,235.040356417752,240.864804780632,5.824448362879991,,4.78,-13.86,8.5,85.5
41,237.87704957582702,242.6205551505145,4.743505574687475,,4.78,-13.86,8.5,85.5
42,240.909645147676,245.864055370191,4.954410222515008,,4.78,-13.86,4.5,85.5
44,249.96595494975452,254.368075241773,4.4021202920184805,,4.78,-13.86,8.5,85.5
